codsector,year,valdivia,launion,riobueno,paillaco,panguipulli,mariquina,restocomunas
C,2014,160860.9045,460220.8457,15133.75531,3064.464866,6343.148646,2125.945066,9095.01339
D,2014,162.9833661,0,5092.708305,13366.70638,223.3453208,631.2184534,1203.808051
E,2014,6182.20913,192.6022933,315.1569952,1238.769975,1115.40689,91.76319859,1286.638593
F,2014,55320.1719,4708.032581,2933.458537,1299.461638,7349.502468,3396.089194,12414.33451
G,2014,156682.8351,16483.98023,15160.59219,13299.67151,15009.38847,6773.558634,32416.09131
H,2014,26956.53712,11103.87224,1217.696081,2245.036399,11370.21254,1524.881808,3671.009074
I,2014,17505.09772,1289.473935,743.2126096,395.9107982,2042.718103,761.1281909,1862.029095
J,2014,63761.41325,150.0290362,122.9537818,1044.070987,305.6232918,734.0377714,1696.428213
K,2014,8777.054373,473.6030679,474.6804754,30831.64134,82777.5931,444.6350911,771.8104749
L,2014,26492.66863,810.3837912,281.136345,5062.754908,6301.024901,262.5299142,1323.100682
M,2014,6386.009347,363.0499414,366.1254341,116.6787308,1504.541787,278.0989836,312.9149772
N,2014,9562.233153,1557.24454,965.0320148,4.946158954,365.587795,111.4131473,631.2079995
O,2014,17.19204782,54.08926264,37.8764616,31.34345081,43.39363674,18.19634046,61.46822666
P,2014,65727.13939,1314.702083,1077.757998,1554.73221,356.6981482,1301.462806,4376.548695
Q,2014,29056.6287,359.5281692,13.4696559,45.64625877,36.61257635,794.6837617,506.3196758
R,2014,1219.193868,184.1310088,8.742114795,9.875155364,145.6647621,84.68798206,5480.944952
S,2014,4382.537947,214.2391548,113.0752587,49.21526031,818.3235558,90.76260006,430.7248527
A,2015,155907.4031,58672.29095,60088.56069,34938.46933,17678.19619,24483.17522,120479.5607
B,2015,6808.464097,3088.193083,1547.348681,484.565264,416.4286531,322.8097337,2609.512764
C,2015,185380.1702,491056.0288,18732.97023,2104.585839,7751.377206,3257.194215,12095.14325
D,2015,186.6961759,0,6005.235847,11725.8634,93.27511836,542.2918649,1285.959782
E,2015,7547.332746,165.526938,308.262814,1592.822686,1057.398539,129.4248998,1625.22483
F,2015,72338.55496,6669.661645,4671.473586,1667.536747,6941.808567,3989.104108,17494.47526
G,2015,181157.1138,22031.8579,17006.83201,16476.08487,17790.78046,10228.62914,39051.97074
H,2015,29323.79927,13420.22463,1646.31896,2583.457141,12820.14053,2367.671837,4723.331139
I,2015,22308.49056,1703.155338,982.7189168,427.4728264,4033.178685,1134.120777,2318.244085
J,2015,79894.33472,218.8608326,163.3215156,822.2329365,325.2720862,69.71473213,2014.973971
K,2015,14110.90295,1622.660337,815.6141786,26104.16885,30719.69751,509.3260322,2194.201878
L,2015,29962.08923,755.3071822,454.2453431,974.8338236,9233.456861,363.6745913,1698.173389
M,2015,9065.517615,469.6111102,443.8328524,223.896418,4682.509391,249.3079972,455.0091255
N,2015,11997.00831,2534.57522,1127.366337,5.66578654,221.9023038,223.7382847,731.1130949
O,2015,17.0495911,62.98106437,44.62682567,39.99255315,54.23569978,27.16480809,75.89378705
P,2015,77119.23012,2182.505292,1204.417594,1860.967241,600.9247062,1538.816475,4780.456327
Q,2015,32920.80366,407.9025621,15.42938587,52.28743373,1308.509932,950.9426307,605.0727753
R,2015,1706.178497,22.93842541,10.01402438,67.87148112,10.88785741,129.3458981,6648.152919
S,2015,8975.877445,339.206452,187.5413201,91.50200227,185.8489635,80.62303459,339.2987899
A,2016,149072.7239,60200.02336,63753.76541,36738.18553,20647.16021,27124.90102,134214.0633
B,2016,7111.479014,3149.720129,1796.934205,388.3152514,492.6813396,279.8549979,2593.752432
C,2016,177562.1281,476299.1772,16148.81999,2147.90029,8087.947369,3933.624413,12015.23225
D,2016,190.4157828,0,5949.883485,11761.8041,190.266936,460.9134308,1544.629769
E,2016,8123.918604,190.8884792,264.8902917,1895.913907,247.3654879,152.2940047,1881.605332
F,2016,85423.32609,5747.027772,5280.789903,2742.223559,24997.4307,4152.44468,21410.6618
G,2016,189704.6889,21761.2817,19355.50271,19188.55321,22019.68217,10824.32263,43292.0641
H,2016,27999.93021,14691.10184,1940.682572,2669.622539,17195.09835,1648.116209,5879.363008
I,2016,26455.55042,1841.388479,1069.34702,684.7439408,3566.424555,1316.050818,2537.675866
J,2016,86057.13975,293.1214576,168.2189018,533.6638001,565.3117715,71.10368077,2494.065407
K,2016,11938.42304,661.2257948,554.575945,31322.64759,59667.06091,519.4734957,2805.730139
L,2016,34870.08724,850.7964052,571.9942964,287.7558293,17632.29218,556.3802926,998.9804977
M,2016,10961.20302,545.2818376,571.8754884,294.4258314,2303.177198,445.804488,888.3188621
N,2016,12157.47955,2697.066999,1736.540235,34.67200677,176.4516842,268.1749642,1152.225291
O,2016,17.33424614,69.97016598,46.88141821,43.6457336,59.33025734,28.34539086,83.16194317
P,2016,85731.38848,2030.334227,1253.996606,2097.024858,691.6159612,1789.063427,4909.059758
Q,2016,36437.73332,442.1968516,39.34197601,53.32917279,1411.574777,306.7168954,701.3194474
R,2016,2627.870092,123.313094,10.21353695,69.22370608,11.10477964,32.98072431,7479.53082
S,2016,6873.296113,679.056453,280.5628497,226.1739452,410.4636967,250.7778986,608.5809764
,,,,,,,,
,,Valdivia,La Unión,Río Bueno,Paillaco,Panguipulli,Mariquina,Resto
A,2017,144721.8944,65139.18484,76061.87144,38708.57834,15357.848,26691.24963,142799.9225
